left_up_x,left_up_y,left_down_x,left_down_y
93,52,138,146
129,75,166,122
110,119,125,146
48,183,146,256
48,185,61,209
204,70,244,130
114,185,196,265
213,70,226,94
153,185,196,265
127,209,146,230
153,203,196,241
223,141,308,266
48,263,156,374
153,228,177,265
82,263,105,290
178,217,198,267
90,266,116,304
179,217,196,241
274,66,301,93
274,70,287,93
274,70,297,126
247,141,261,166
164,242,177,265
289,65,326,126
160,277,241,421
177,277,190,300
303,140,376,269
347,62,375,116
213,281,356,441
57,376,162,504
377,89,390,112
358,184,372,197
377,146,391,171
345,220,365,256
310,269,390,363
352,232,365,256
433,120,446,143
193,433,288,530
58,501,90,531
92,500,136,531
370,350,398,386
121,499,182,531
121,506,136,529
164,499,182,524
347,412,378,445
306,451,377,506
364,416,378,443
399,516,415,541
