left_up_x,left_up_y,left_down_x,left_down_y
63,52,107,114
108,56,153,120
70,109,108,162
79,156,134,215
124,132,170,172
168,82,204,136
163,144,214,208
223,41,372,282
53,225,91,296
127,247,163,300
150,257,163,280
68,298,106,387
179,258,220,325
126,293,164,345
203,269,379,428
207,272,220,298
111,332,162,436
360,95,384,137
375,102,390,139
65,384,98,434
357,168,416,259
54,425,148,488
190,434,257,526
68,486,118,536
268,431,285,477
270,437,318,477
270,448,318,520
270,454,285,477
304,448,318,477
304,448,326,493
304,448,354,529
263,478,291,519
192,534,220,559
333,460,364,488
225,534,253,559
260,534,287,559
339,491,354,516
